timestamp,ear,mar,status
1776423798.467245,0.5533,0.4504,ALERT
1776423798.5025313,0.5768,0.4535,ALERT
1776423798.516712,0.6405,0.4458,ALERT
1776423798.5632784,0.7052,0.4464,ALERT
1776423798.5898166,0.4979,0.4322,ALERT
1776423798.6322427,0.3767,0.4405,ALERT
1776423798.6481202,0.4517,0.4442,ALERT
1776423798.6910934,0.411,0.4405,ALERT
1776423798.707094,0.7376,0.4833,ALERT
1776423798.7570949,0.422,0.4678,ALERT
1776423798.8426867,0.5631,0.4484,ALERT
1776423798.858366,0.5629,0.4714,ALERT
1776423798.902921,0.4878,0.5385,ALERT
1776423798.9689193,0.5795,0.5382,ALERT
1776423798.9829347,0.5437,0.5715,ALERT
1776423799.051464,0.619,0.5142,ALERT
1776423799.0960078,0.4504,0.514,ALERT
1776423799.113009,0.5117,0.488,ALERT
1776423799.1935527,0.7872,0.4287,ALERT
1776423799.238329,0.5377,0.461,ALERT
1776423799.2523277,0.6921,0.4562,ALERT
1776423799.3015127,0.5162,0.435,ALERT
1776423799.3165102,0.6142,0.4579,ALERT
1776423799.3675146,0.4328,0.4414,ALERT
1776423799.3825214,0.654,0.4683,ALERT
1776423799.4300463,0.3542,0.4752,ALERT
1776423799.448044,0.8649,0.4224,ALERT
1776423799.4945884,0.5102,0.435,ALERT
1776423799.5225902,0.6601,0.4571,ALERT
1776423799.5766068,0.4697,0.4745,ALERT
1776423799.8359587,0.3983,0.4617,ALERT
1776423799.8519588,0.6739,0.4799,ALERT
1776423799.8669617,0.6296,0.4632,ALERT
1776423799.8829725,0.589,0.4425,ALERT
1776423799.8994973,0.402,0.4491,ALERT
1776423799.913499,0.4038,0.4666,ALERT
1776423799.9715102,0.3573,0.4671,ALERT
1776423799.986038,0.3976,0.4468,ALERT
1776423800.038036,0.4518,0.4574,ALERT
1776423800.0520375,0.7169,0.4462,ALERT
1776423800.10021,0.7684,0.46,ALERT
1776423800.1142113,0.5505,0.4414,ALERT
1776423800.1655648,0.5088,0.4479,ALERT
1776423800.1805882,0.4951,0.4561,ALERT
1776423800.231126,0.4683,0.4678,ALERT
1776423800.2471213,0.4588,0.4362,ALERT
1776423800.310667,0.3554,0.4453,ALERT
1776423800.326669,0.3888,0.4453,ALERT
1776423800.374679,0.3061,0.4502,ALERT
1776423800.391206,0.3101,0.4539,ALERT
1776423800.4362035,0.3118,0.4558,ALERT
1776423800.452203,0.2652,0.457,ALERT
1776423800.5055048,0.2238,0.4571,ALERT
1776423800.5215032,0.2506,0.4571,ALERT
1776423800.564503,0.1856,0.5467,ALERT
1776423800.5805163,0.1557,0.5579,ALERT
1776423800.6310463,0.073,0.5766,ALERT
1776423800.6470478,0.0741,0.4889,ALERT
1776423800.7117286,0.1155,0.555,ALERT
1776423800.7287266,0.1408,0.5777,ALERT
1776423800.7737505,0.1731,0.4559,ALERT
1776423800.7882838,0.1659,0.5106,ALERT
1776423800.8362775,0.2233,0.4577,ALERT
1776423800.85228,0.2071,0.4569,ALERT
1776423800.902819,0.2304,0.5213,ALERT
1776423800.9198205,0.2312,0.5107,ALERT
1776423800.9658163,0.2347,0.5481,ALERT
1776423800.9808297,0.2402,0.5281,ALERT
1776423801.0294747,0.2716,0.5481,ALERT
1776423801.045475,0.2656,0.538,ALERT
1776423801.1090171,0.2295,0.5488,ALERT
1776423801.1270237,0.2353,0.539,ALERT
1776423801.1770446,0.2511,0.5385,ALERT
1776423801.1935792,0.2565,0.5577,ALERT
1776423801.2390013,0.2686,0.5508,ALERT
1776423801.2559998,0.2551,0.5505,ALERT
1776423801.3015418,0.2598,0.4895,ALERT
1776423801.3145404,0.2679,0.4798,ALERT
1776423801.3685398,0.2977,0.4523,ALERT
1776423801.3835504,0.2879,0.4505,ALERT
1776423801.4430873,0.2638,0.5011,ALERT
